round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 9, 0.7710927128791809, 0.7421349287033081, 639201, 1.7834486961364746, 9.313375473022461, 9.5367431640625e-07
1, 4, 0.5178793668746948, 0.8317693471908569, 639217, 2.101668357849121, 9.262078523635864, 4.76837158203125e-07
2, 9, 0.7117630839347839, 0.7615930438041687, 639217, 0.9785373210906982, 9.859894275665283, 5.551840543746948
2, 7, 0.7597243785858154, 0.71100914478302, 639228, 2.0545949935913086, 9.735327243804932, 5.597650051116943
2, 8, 0.9730932712554932, 0.5997289419174194, 639229, 2.568510055541992, 9.690523147583008, 5.525597333908081
2, 5, 0.6790984869003296, 0.7645711898803711, 639213, 2.629030466079712, 9.659083843231201, 5.714045524597168
2, 2, 0.667497456073761, 0.758293867111206, 639191, 3.0535309314727783, 9.544064044952393, 5.754293441772461
3, 7, 0.5345046520233154, 0.7930383086204529, 639197, 1.057767629623413, 9.917786359786987, 5.57952094078064
3, 9, 0.508961021900177, 0.8243317008018494, 639242, 1.5116002559661865, 9.81883978843689, 5.569133043289185
3, 2, 0.5487988591194153, 0.7973644733428955, 639204, 2.322232723236084, 9.74072265625, 5.6183130741119385
3, 1, 0.5062150359153748, 0.8070676922798157, 639189, 3.004948139190674, 9.616904020309448, 5.592663049697876
3, 0, 0.49611347913742065, 0.8228533864021301, 639223, 2.796259641647339, 9.591724157333374, 5.9762046337127686
4, 8, 0.7210388779640198, 0.7183194160461426, 639199, 1.6277787685394287, 9.751675844192505, 5.574709177017212
4, 5, 0.4458581209182739, 0.8378434777259827, 639260, 1.6867256164550781, 9.758743047714233, 5.53033447265625
4, 4, 0.28017690777778625, 0.9028967618942261, 639200, 2.4012627601623535, 9.503930568695068, 5.573018312454224
4, 1, 0.457632839679718, 0.8305833339691162, 639198, 2.4313697814941406, 9.617679834365845, 5.5382914543151855
4, 0, 0.4472447335720062, 0.8466590046882629, 639200, 1.9945154190063477, 9.902748107910156, 5.990440130233765
5, 8, 0.6908769011497498, 0.7271289825439453, 639213, 1.3803508281707764, 9.974036931991577, 5.586561441421509
5, 0, 0.41202372312545776, 0.8517484664916992, 639203, 1.8267910480499268, 9.735453128814697, 5.54182505607605
5, 4, 0.24652604758739471, 0.9121447205543518, 639203, 2.2393271923065186, 9.750859498977661, 5.7399513721466064
5, 3, 0.3074822723865509, 0.8967084884643555, 639202, 2.697303533554077, 9.530174732208252, 5.613619327545166
5, 2, 0.47558295726776123, 0.8263784646987915, 639224, 2.429795742034912, 9.574129104614258, 6.005084753036499
6, 7, 0.4311729371547699, 0.8405288457870483, 639211, 1.3682541847229004, 9.914405107498169, 5.596543073654175
6, 8, 0.6691104769706726, 0.733905553817749, 639207, 1.579010248184204, 9.766066312789917, 5.575647354125977
6, 1, 0.40535786747932434, 0.852020263671875, 639193, 2.401759147644043, 9.646235227584839, 5.691035032272339
6, 4, 0.22817327082157135, 0.9216646552085876, 639218, 2.3637280464172363, 9.804555416107178, 5.592940807342529
6, 2, 0.4536725580692291, 0.8357415199279785, 639210, 2.5853540897369385, 9.620035409927368, 5.638704538345337
7, 5, 0.3603946268558502, 0.8705245852470398, 639234, 1.7772128582000732, 9.667457818984985, 5.678781270980835
7, 8, 0.628076434135437, 0.7510729432106018, 639239, 1.5890367031097412, 9.996163368225098, 5.590115785598755
7, 9, 0.39363372325897217, 0.8599745631217957, 639238, 1.9298243522644043, 9.86465048789978, 5.679847955703735
7, 4, 0.2184007316827774, 0.9242486357688904, 639197, 2.346383571624756, 9.578175783157349, 5.707185983657837
7, 2, 0.42958933115005493, 0.8432551026344299, 639215, 2.571038007736206, 9.611782789230347, 5.732795000076294
8, 7, 0.3927335739135742, 0.8550998568534851, 639205, 1.29874587059021, 9.869307041168213, 5.597943544387817
8, 3, 0.2576603293418884, 0.9150754809379578, 639180, 1.9483137130737305, 9.849639415740967, 5.685447454452515
8, 0, 0.37564459443092346, 0.8630766868591309, 639201, 2.1689727306365967, 9.69404935836792, 5.666032552719116
8, 1, 0.37460342049598694, 0.8661816120147705, 639205, 2.462205171585083, 9.60425877571106, 5.581161975860596
8, 2, 0.41561219096183777, 0.8488035798072815, 639224, 2.6170921325683594, 9.524719715118408, 5.664765119552612
9, 8, 0.5764431953430176, 0.7700474262237549, 639229, 1.5581111907958984, 9.713115930557251, 5.585665464401245
9, 0, 0.3546850085258484, 0.8703004717826843, 639214, 2.0302181243896484, 9.65718388557434, 5.625365734100342
