round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 2, 0.3284759521484375, 0.9060251712799072, 1671614, 1.6316959857940674, 0.04312896728515625, 7.152557373046875e-07
1, 4, 0.09041593968868256, 0.9759949445724487, 1671574, 1.6778771877288818, 0.03550076484680176, 4.76837158203125e-07
2, 7, 0.7160472869873047, 0.8328076004981995, 1670417, 1.049724817276001, 0.05142974853515625, 0.046663761138916016
2, 0, 0.4290846586227417, 0.8557190895080566, 1671834, 2.6365811824798584, 0.05156278610229492, 0.03841590881347656
2, 6, 0.19029295444488525, 0.9476052522659302, 1671488, 3.093247890472412, 0.04594588279724121, 0.04229140281677246
2, 9, 0.35321366786956787, 0.9024962186813354, 1671980, 3.139357089996338, 0.04727673530578613, 0.041994571685791016
2, 1, 0.44022345542907715, 0.8322871327400208, 1671867, 4.339781999588013, 0.03555154800415039, 0.04402351379394531
3, 5, 0.9050337672233582, 0.8288419246673584, 1672089, 1.5830602645874023, 0.05785679817199707, 0.0398104190826416
3, 6, 0.5025175213813782, 0.8580551743507385, 1671933, 1.8568706512451172, 0.05280327796936035, 0.042044878005981445
3, 3, 0.6712378263473511, 0.7953425645828247, 1671673, 2.4194729328155518, 0.05092000961303711, 0.0548403263092041
3, 8, 0.23939865827560425, 0.9578381776809692, 1671444, 2.7142651081085205, 0.04542994499206543, 0.03359079360961914
3, 1, 0.6155548691749573, 0.7735106348991394, 1671716, 3.489239454269409, 0.03435087203979492, 0.05615067481994629
4, 7, 1.9623000621795654, 0.6104100942611694, 1671584, 0.31253933906555176, 0.05468630790710449, 0.05265045166015625
4, 3, 0.6668713092803955, 0.8121361136436462, 1670953, 1.4377753734588623, 0.04896831512451172, 0.056151628494262695
4, 4, 0.4654536545276642, 0.8837649822235107, 1672123, 1.5103423595428467, 0.04659628868103027, 0.04834723472595215
4, 0, 0.9792928099632263, 0.6734130382537842, 1671821, 1.8086681365966797, 0.041158437728881836, 0.04955887794494629
4, 6, 0.4703252911567688, 0.8529753088951111, 1671430, 1.8546416759490967, 0.03634476661682129, 0.05202913284301758
5, 2, 0.7148776650428772, 0.7792266011238098, 1671925, 1.5818233489990234, 0.05567026138305664, 0.033571720123291016
