round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 7, 1.1772840023040771, 0.8116883039474487, 6054905, 0.7328243255615234, 0.2858145236968994, 1.1920928955078125e-06
1, 3, 0.42727914452552795, 0.8621307015419006, 6054771, 0.9141583442687988, 0.2480144500732422, 7.152557373046875e-07
2, 7, 1.0923703908920288, 0.7094155550003052, 6054860, 0.09870195388793945, 0.24033856391906738, 0.24246668815612793
2, 5, 0.6927778720855713, 0.8484848737716675, 6054552, 0.7874457836151123, 0.31229734420776367, 0.23878192901611328
2, 0, 0.43186116218566895, 0.8854618668556213, 6054720, 1.114473581314087, 0.24506807327270508, 0.24418377876281738
2, 4, 0.17140965163707733, 0.9648100137710571, 6054497, 1.0492713451385498, 0.299818754196167, 0.2893235683441162
2, 8, 0.27369004487991333, 0.9355612397193909, 6054593, 1.111133098602295, 0.2959878444671631, 0.24045014381408691
3, 7, 0.4681647717952728, 0.8879870176315308, 6054557, 0.10875391960144043, 0.31450891494750977, 0.22841119766235352
3, 5, 0.48198339343070984, 0.8662232160568237, 6054469, 0.20543956756591797, 0.28511738777160645, 0.35265660285949707
3, 3, 0.3674561083316803, 0.8784691095352173, 6054343, 0.38956761360168457, 0.26421523094177246, 0.2465839385986328
3, 8, 0.1468517929315567, 0.961304783821106, 6054255, 0.5084173679351807, 0.2416071891784668, 0.21528291702270508
3, 4, 0.07801973074674606, 0.981217622756958, 6054341, 0.40491485595703125, 0.23307275772094727, 0.35584497451782227
4, 7, 0.43894973397254944, 0.8555194735527039, 6054396, 0.13591575622558594, 0.28536057472229004, 0.2436668872833252
4, 5, 0.4868583679199219, 0.8625277280807495, 6054324, 0.18992400169372559, 0.2928738594055176, 0.23012828826904297
4, 4, 0.03748231753706932, 0.9911485314369202, 6054298, 0.36078906059265137, 0.27617573738098145, 0.21399998664855957
4, 8, 0.1495257019996643, 0.9587463736534119, 6054648, 0.4456946849822998, 0.2568240165710449, 0.25403881072998047
4, 2, 0.2239527702331543, 0.9381396174430847, 6054300, 1.0205678939819336, 0.23800253868103027, 0.2106938362121582
5, 7, 0.2214203178882599, 0.9415584206581116, 6054648, 0.13532304763793945, 0.3007524013519287, 0.34601402282714844
5, 5, 0.38150328397750854, 0.8913525342941284, 6054674, 0.18169236183166504, 0.30152463912963867, 0.34540224075317383
5, 4, 0.06755682080984116, 0.9792746305465698, 6054842, 0.36946630477905273, 0.25617146492004395, 0.2553374767303467
5, 0, 0.19939811527729034, 0.9449782967567444, 6054136, 0.46141934394836426, 0.2580296993255615, 0.21104717254638672
5, 6, 0.09086281061172485, 0.9803028106689453, 6054323, 1.2429072856903076, 0.23290586471557617, 0.2521970272064209
6, 7, 0.16957616806030273, 0.9545454382896423, 6054424, 0.1091773509979248, 0.2852208614349365, 0.2182924747467041
