round, cid, loss, accuracy, decyfer_time
1, 9, 1.9580570459365845, 0.2529999911785126, 0.06892848014831543
1, 3, 2.0527429580688477, 0.20600000023841858, 0.08811473846435547
1, 0, 2.004314422607422, 0.2290000021457672, 0.06824183464050293
1, 4, 1.9696611166000366, 0.24199999868869781, 0.08583354949951172
1, 5, 2.0149009227752686, 0.23399999737739563, 0.07018351554870605
1, 6, 1.987595796585083, 0.23499999940395355, 0.07627248764038086
1, 8, 1.9885783195495605, 0.23800000548362732, 0.07019853591918945
1, 7, 1.9972566366195679, 0.2280000001192093, 0.07394242286682129
1, 1, 1.999726414680481, 0.24199999868869781, 0.07132077217102051
1, 2, 2.0314247608184814, 0.22100000083446503, 0.0729215145111084
2, 2, 0.42493098974227905, 0.8759999871253967, 0.06989645957946777
2, 3, 0.39575546979904175, 0.8709999918937683, 0.08180880546569824
2, 4, 0.32171833515167236, 0.9160000085830688, 0.06915044784545898
2, 0, 0.4075174331665039, 0.8880000114440918, 0.07845902442932129
2, 5, 0.40878400206565857, 0.8880000114440918, 0.062270164489746094
2, 8, 0.4143117368221283, 0.8849999904632568, 0.06751585006713867
2, 6, 0.3760751485824585, 0.8949999809265137, 0.06706809997558594
2, 1, 0.4221873879432678, 0.8700000047683716, 0.06013178825378418
2, 7, 0.39670127630233765, 0.8889999985694885, 0.0643155574798584
2, 9, 0.39003780484199524, 0.875, 0.0625154972076416
3, 0, 0.2836678624153137, 0.9200000166893005, 0.05907869338989258
3, 4, 0.22977504134178162, 0.925000011920929, 0.08076953887939453
3, 3, 0.2633003294467926, 0.9179999828338623, 0.0805211067199707
3, 7, 0.29374220967292786, 0.902999997138977, 0.07523894309997559
3, 5, 0.27694907784461975, 0.9160000085830688, 0.07526302337646484
3, 2, 0.311016321182251, 0.8999999761581421, 0.07504129409790039
3, 9, 0.2779638171195984, 0.9100000262260437, 0.053690195083618164
3, 8, 0.3312581181526184, 0.906000018119812, 0.07633447647094727
3, 1, 0.31164979934692383, 0.9150000214576721, 0.06753420829772949
3, 6, 0.2617071866989136, 0.9300000071525574, 0.06518864631652832
4, 7, 0.2404957115650177, 0.9210000038146973, 0.07255387306213379
4, 5, 0.25666266679763794, 0.9300000071525574, 0.08144402503967285
4, 9, 0.22899340093135834, 0.9240000247955322, 0.0810236930847168
4, 3, 0.21645396947860718, 0.9330000281333923, 0.07657361030578613
4, 0, 0.24733832478523254, 0.9290000200271606, 0.0508427619934082
4, 1, 0.2583933472633362, 0.9279999732971191, 0.06959247589111328
4, 2, 0.25449299812316895, 0.9200000166893005, 0.06606531143188477
4, 6, 0.22610056400299072, 0.9319999814033508, 0.06846952438354492
4, 4, 0.18918238580226898, 0.9430000185966492, 0.06176352500915527
4, 8, 0.28037557005882263, 0.9139999747276306, 0.08484244346618652
5, 8, 0.2306169867515564, 0.9330000281333923, 0.08395719528198242
5, 5, 0.20552630722522736, 0.9440000057220459, 0.07756400108337402
5, 3, 0.17082545161247253, 0.9480000138282776, 0.08329606056213379
5, 7, 0.19732996821403503, 0.9290000200271606, 0.07116389274597168
5, 9, 0.17597387731075287, 0.9390000104904175, 0.07094454765319824
5, 2, 0.20746298134326935, 0.9330000281333923, 0.06704521179199219
5, 1, 0.20544053614139557, 0.9380000233650208, 0.04985451698303223
5, 0, 0.20563071966171265, 0.9430000185966492, 0.07901906967163086
5, 6, 0.17560617625713348, 0.9419999718666077, 0.06020712852478027
5, 4, 0.14734308421611786, 0.949999988079071, 0.06825780868530273
6, 6, 0.16392987966537476, 0.9520000219345093, 0.07935166358947754
6, 4, 0.12795057892799377, 0.9559999704360962, 0.06058192253112793
6, 0, 0.18340200185775757, 0.9449999928474426, 0.08321714401245117
6, 1, 0.18492914736270905, 0.9509999752044678, 0.07960271835327148
6, 8, 0.20280350744724274, 0.9390000104904175, 0.07523989677429199
6, 3, 0.14919668436050415, 0.9559999704360962, 0.04741024971008301
6, 7, 0.1619710624217987, 0.9459999799728394, 0.07001376152038574
6, 2, 0.18558445572853088, 0.9449999928474426, 0.06904745101928711
6, 9, 0.16174845397472382, 0.9440000057220459, 0.07800030708312988
6, 5, 0.18820703029632568, 0.9480000138282776, 0.06401658058166504
7, 4, 0.12071723490953445, 0.9629999995231628, 0.07905101776123047
7, 8, 0.19901056587696075, 0.9449999928474426, 0.06399774551391602
7, 5, 0.18596616387367249, 0.9480000138282776, 0.08855223655700684
7, 3, 0.1476190835237503, 0.9549999833106995, 0.08140015602111816
7, 0, 0.17906661331653595, 0.9459999799728394, 0.07893037796020508
7, 2, 0.19529365003108978, 0.9369999766349792, 0.04999518394470215
7, 6, 0.1579216718673706, 0.9490000009536743, 0.06656861305236816
7, 7, 0.1519242525100708, 0.949999988079071, 0.06986069679260254
7, 9, 0.15344884991645813, 0.9490000009536743, 0.06387495994567871
7, 1, 0.190461203455925, 0.9480000138282776, 0.06424117088317871
8, 6, 0.153829425573349, 0.9490000009536743, 0.07842731475830078
8, 8, 0.18864449858665466, 0.9459999799728394, 0.08518099784851074
8, 7, 0.14394335448741913, 0.9520000219345093, 0.09151196479797363
8, 2, 0.17973732948303223, 0.9399999976158142, 0.08357501029968262
8, 0, 0.16950872540473938, 0.9449999928474426, 0.0787043571472168
8, 4, 0.11374049633741379, 0.9679999947547913, 0.07510137557983398
8, 9, 0.15027134120464325, 0.9509999752044678, 0.061173439025878906
8, 3, 0.14357410371303558, 0.9539999961853027, 0.07030344009399414
8, 5, 0.1787121593952179, 0.9470000267028809, 0.06534695625305176
8, 1, 0.1775447279214859, 0.9539999961853027, 0.07705807685852051
9, 1, 0.15521927177906036, 0.9549999833106995, 0.0810549259185791
9, 6, 0.1261742115020752, 0.9570000171661377, 0.07184672355651855
9, 8, 0.17114031314849854, 0.9459999799728394, 0.08495664596557617
9, 9, 0.13200029730796814, 0.9610000252723694, 0.07609891891479492
9, 0, 0.14993713796138763, 0.9589999914169312, 0.056008100509643555
9, 2, 0.15568125247955322, 0.9459999799728394, 0.06891822814941406
9, 5, 0.16396930813789368, 0.9549999833106995, 0.04735898971557617
9, 3, 0.12245006859302521, 0.9610000252723694, 0.06539201736450195
9, 4, 0.1016772910952568, 0.9679999947547913, 0.08642363548278809
9, 7, 0.13586735725402832, 0.9520000219345093, 0.06545853614807129
10, 8, 0.1589963585138321, 0.9580000042915344, 0.07086873054504395
10, 5, 0.1394054889678955, 0.9620000123977661, 0.08079934120178223
10, 7, 0.1215539202094078, 0.9580000042915344, 0.08225488662719727
10, 4, 0.09034449607133865, 0.9750000238418579, 0.08279538154602051
10, 1, 0.13632050156593323, 0.9639999866485596, 0.08330440521240234
10, 6, 0.11814024299383163, 0.9599999785423279, 0.07023310661315918
10, 2, 0.14552752673625946, 0.9480000138282776, 0.07809829711914062
10, 3, 0.10918724536895752, 0.9660000205039978, 0.06972646713256836
10, 0, 0.1400817334651947, 0.9610000252723694, 0.06762504577636719
10, 9, 0.10822740942239761, 0.9639999866485596, 0.05802464485168457
11, 5, 0.1380251944065094, 0.9580000042915344, 0.08480143547058105
11, 1, 0.13461834192276, 0.9599999785423279, 0.0802001953125
11, 6, 0.11146442592144012, 0.9629999995231628, 0.06074953079223633
11, 8, 0.16341450810432434, 0.9520000219345093, 0.0849297046661377
11, 7, 0.12187191843986511, 0.9559999704360962, 0.08390569686889648
11, 0, 0.13319845497608185, 0.9610000252723694, 0.07222104072570801
11, 9, 0.11751668900251389, 0.9580000042915344, 0.07559704780578613
11, 2, 0.13833490014076233, 0.9490000009536743, 0.06882238388061523
11, 3, 0.11210062354803085, 0.9710000157356262, 0.06444811820983887
11, 4, 0.09391313791275024, 0.9750000238418579, 0.06864333152770996
12, 5, 0.13304810225963593, 0.9580000042915344, 0.0724184513092041
12, 6, 0.10140698403120041, 0.9629999995231628, 0.08317708969116211
12, 3, 0.10914085060358047, 0.9729999899864197, 0.0797264575958252
12, 7, 0.1307603269815445, 0.9539999961853027, 0.07655048370361328
12, 9, 0.12345591932535172, 0.9580000042915344, 0.047698974609375
12, 0, 0.14117978513240814, 0.9599999785423279, 0.05225944519042969
12, 2, 0.14551037549972534, 0.953000009059906, 0.06626248359680176
12, 8, 0.17183808982372284, 0.9470000267028809, 0.0732412338256836
12, 1, 0.13169562816619873, 0.9700000286102295, 0.07877707481384277
12, 4, 0.09477357566356659, 0.9769999980926514, 0.06712841987609863
13, 8, 0.14352044463157654, 0.9580000042915344, 0.0778663158416748
13, 5, 0.1246156096458435, 0.9649999737739563, 0.07684111595153809
13, 2, 0.1271120309829712, 0.9580000042915344, 0.08262872695922852
13, 3, 0.08738777786493301, 0.9739999771118164, 0.07492327690124512
13, 6, 0.09887295961380005, 0.9700000286102295, 0.07478690147399902
13, 1, 0.11071134358644485, 0.9670000076293945, 0.07670378684997559
13, 4, 0.08153057098388672, 0.9769999980926514, 0.06397891044616699
13, 9, 0.09367753565311432, 0.972000002861023, 0.07126665115356445
13, 7, 0.10519218444824219, 0.9610000252723694, 0.06605219841003418
13, 0, 0.13100501894950867, 0.9660000205039978, 0.06538200378417969
14, 1, 0.11798834800720215, 0.9649999737739563, 0.08371162414550781
14, 8, 0.14786949753761292, 0.953000009059906, 0.08519673347473145
14, 7, 0.10549324005842209, 0.9610000252723694, 0.07973980903625488
14, 4, 0.08839926868677139, 0.9739999771118164, 0.07581400871276855
14, 9, 0.09951716661453247, 0.9670000076293945, 0.06992840766906738
14, 5, 0.13762104511260986, 0.9610000252723694, 0.07980227470397949
14, 3, 0.09231003373861313, 0.9729999899864197, 0.07375788688659668
14, 2, 0.13542355597019196, 0.9559999704360962, 0.06009984016418457
14, 0, 0.13372549414634705, 0.9649999737739563, 0.06599998474121094
14, 6, 0.09429863840341568, 0.9670000076293945, 0.06931233406066895
15, 7, 0.09562336653470993, 0.9660000205039978, 0.08499693870544434
15, 6, 0.08265601843595505, 0.9710000157356262, 0.07662343978881836
15, 2, 0.11979653686285019, 0.9649999737739563, 0.05701756477355957
