round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 8, 0.641879677772522, 0.8206377029418945, 9359472, 0.9283633232116699, 0.21499061584472656, 1.1920928955078125e-06
1, 2, 0.5669259428977966, 0.8274532556533813, 9359648, 1.2297968864440918, 0.18713879585266113, 9.5367431640625e-07
2, 2, 0.36959001421928406, 0.9012850522994995, 9360310, 0.5494890213012695, 0.1853015422821045, 0.06003832817077637
2, 0, 0.46108391880989075, 0.8730446100234985, 9361242, 1.2400310039520264, 0.2843813896179199, 0.04664874076843262
2, 3, 0.39076218008995056, 0.8955277800559998, 9359577, 1.3116555213928223, 0.24156689643859863, 0.058301448822021484
2, 6, 0.4274156987667084, 0.8824275135993958, 9361176, 1.3170170783996582, 0.28016233444213867, 0.06128048896789551
2, 1, 0.37558937072753906, 0.8995339274406433, 9360214, 1.546602725982666, 0.19816088676452637, 0.06452465057373047
3, 0, 0.27524638175964355, 0.9184916615486145, 9359703, 0.5828831195831299, 0.2194228172302246, 0.04572415351867676
3, 6, 0.24403634667396545, 0.9271113872528076, 9359839, 0.6032726764678955, 0.21866703033447266, 0.057137489318847656
3, 1, 0.2376088947057724, 0.9306058883666992, 9362295, 0.6980774402618408, 0.20413565635681152, 0.048117637634277344
3, 2, 0.222737118601799, 0.9330607652664185, 9360459, 0.7104825973510742, 0.20903873443603516, 0.04540729522705078
3, 7, 0.25130149722099304, 0.9259768724441528, 9359190, 1.0723061561584473, 0.18788695335388184, 0.045799970626831055
4, 7, 0.2001880407333374, 0.9378095865249634, 9359127, 0.37619900703430176, 0.2334446907043457, 0.05048489570617676
4, 3, 0.2179897576570511, 0.9346369504928589, 9358953, 0.5161480903625488, 0.23198819160461426, 0.04390764236450195
4, 1, 0.18735679984092712, 0.9436820149421692, 9358419, 0.6867845058441162, 0.17600584030151367, 0.06394648551940918
4, 2, 0.18539735674858093, 0.9449766278266907, 9359486, 0.7180678844451904, 0.18468737602233887, 0.06884384155273438
4, 9, 0.2026270180940628, 0.9404892325401306, 9359199, 1.162604808807373, 0.18912839889526367, 0.04668736457824707
5, 8, 0.13389380276203156, 0.9621346592903137, 9360093, 0.4370756149291992, 0.22470831871032715, 0.04886031150817871
5, 0, 0.19252504408359528, 0.9450024962425232, 9359248, 0.5687415599822998, 0.19842100143432617, 0.07220935821533203
5, 3, 0.18076424300670624, 0.9458627700805664, 9359246, 0.5225963592529297, 0.2848927974700928, 0.05364203453063965
5, 2, 0.15687236189842224, 0.9524532556533813, 9359269, 0.6651856899261475, 0.1889970302581787, 0.05187797546386719
5, 5, 0.2250909060239792, 0.9315866231918335, 9360742, 1.1438548564910889, 0.1926403045654297, 0.06643962860107422
6, 7, 0.15142813324928284, 0.9496422410011292, 9359641, 0.3779773712158203, 0.2563192844390869, 0.045882463455200195
6, 6, 0.16957953572273254, 0.9488195180892944, 9358723, 0.5373530387878418, 0.18222427368164062, 0.04728889465332031
6, 9, 0.15802162885665894, 0.9556407332420349, 9359390, 0.5160446166992188, 0.20476365089416504, 0.06288909912109375
