round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 7, 1.0263164043426514, 0.8068181872367859, 9358867, 0.727288007736206, 0.2162477970123291, 9.5367431640625e-07
1, 9, 0.34875279664993286, 0.8916276693344116, 9358968, 1.1547181606292725, 0.18775439262390137, 1.430511474609375e-06
2, 2, 0.5679721236228943, 0.8508073687553406, 9361415, 1.069291591644287, 0.26511144638061523, 0.06264543533325195
2, 3, 0.4953348934650421, 0.8800358176231384, 9358931, 1.1524932384490967, 0.25204896926879883, 0.059821367263793945
2, 4, 0.08614750951528549, 0.9771156907081604, 9360307, 1.1575465202331543, 0.25867557525634766, 0.05623364448547363
2, 0, 0.47480660676956177, 0.8809671401977539, 9360121, 1.3385801315307617, 0.23488378524780273, 0.05060386657714844
2, 1, 0.29672932624816895, 0.9201894402503967, 9361832, 1.8138980865478516, 0.20294833183288574, 0.05636787414550781
3, 7, 0.2899625301361084, 0.9334415793418884, 9358509, 0.11664819717407227, 0.2378072738647461, 0.051004648208618164
3, 2, 0.1732727736234665, 0.9558790326118469, 9357245, 0.408205509185791, 0.21602296829223633, 0.048248291015625
3, 0, 0.18452993035316467, 0.9499379992485046, 9361114, 0.5186281204223633, 0.19179201126098633, 0.05002593994140625
3, 9, 0.12773357331752777, 0.9615808129310608, 9359567, 0.5723538398742676, 0.18281006813049316, 0.043496131896972656
3, 6, 0.0498761311173439, 0.9882084727287292, 9359374, 1.168489694595337, 0.19091415405273438, 0.041330575942993164
4, 7, 0.14612916111946106, 0.9642857313156128, 9359491, 0.11299967765808105, 0.23528647422790527, 0.06555747985839844
4, 3, 0.1959669589996338, 0.9380035996437073, 9361376, 0.4012415409088135, 0.22877264022827148, 0.059237003326416016
4, 4, 0.05987168848514557, 0.9831606149673462, 9359898, 0.43178248405456543, 0.2073049545288086, 0.060886383056640625
4, 6, 0.03211001306772232, 0.9915583729743958, 9359374, 0.6919405460357666, 0.18387913703918457, 0.0479733943939209
4, 5, 0.08199171721935272, 0.9785661697387695, 9360082, 0.9139988422393799, 0.1903526782989502, 0.06528139114379883
5, 7, 0.09365575015544891, 0.9788960814476013, 9360481, 0.13304352760314941, 0.2380993366241455, 0.0612943172454834
5, 0, 0.17478910088539124, 0.9544327259063721, 9359372, 0.5203514099121094, 0.1940927505493164, 0.06515669822692871
5, 3, 0.15714621543884277, 0.9489704370498657, 9358879, 0.42299675941467285, 0.2746596336364746, 0.05893135070800781
5, 9, 0.10369104146957397, 0.968052864074707, 9361070, 0.5483481884002686, 0.1840956211090088, 0.06629228591918945
5, 8, 0.11713773757219315, 0.9625839591026306, 9359802, 1.1864686012268066, 0.18754196166992188, 0.05768132209777832
6, 5, 0.08710581064224243, 0.976348876953125, 9360016, 0.23030853271484375, 0.24982309341430664, 0.061603546142578125
6, 3, 0.12811528146266937, 0.962623119354248, 9359740, 0.46250128746032715, 0.22821855545043945, 0.04539084434509277
6, 2, 0.12896768748760223, 0.9629292488098145, 9359635, 0.48594021797180176, 0.23093295097351074, 0.07168149948120117
6, 0, 0.07685325294733047, 0.9793862104415894, 9359151, 0.5929863452911377, 0.18750667572021484, 0.04528403282165527
6, 9, 0.07926332950592041, 0.9768658876419067, 9359471, 0.6504387855529785, 0.19913721084594727, 0.05399203300476074
7, 7, 0.1664416491985321, 0.9561688303947449, 9358972, 0.1282975673675537, 0.2430877685546875, 0.061715126037597656
7, 4, 0.02698979526758194, 0.992443859577179, 9359134, 0.4675137996673584, 0.23736095428466797, 0.05292820930480957
7, 0, 0.06625466048717499, 0.9812461137771606, 9360092, 0.5817861557006836, 0.19053077697753906, 0.06015419960021973
7, 9, 0.070122130215168, 0.975626528263092, 9361024, 0.6299350261688232, 0.21067380905151367, 0.05009913444519043
7, 6, 0.026765575632452965, 0.9922283291816711, 9359335, 0.6567287445068359, 0.2014927864074707, 0.04189729690551758
8, 7, 0.06469123810529709, 0.9870129823684692, 9359707, 0.14412307739257812, 0.2392406463623047, 0.047548770904541016
8, 5, 0.07510792464017868, 0.9726533889770508, 9360830, 0.17647361755371094, 0.24454522132873535, 0.055835723876953125
8, 3, 0.11425665020942688, 0.9639659523963928, 9360279, 0.436129093170166, 0.20121026039123535, 0.06635689735412598
8, 4, 0.024607287719845772, 0.9933074116706848, 9362100, 0.4570443630218506, 0.19522547721862793, 0.07032251358032227
8, 0, 0.07596387714147568, 0.977371335029602, 9360235, 0.5245022773742676, 0.18073177337646484, 0.04607081413269043
9, 7, 0.13979043066501617, 0.951298713684082, 9359779, 0.11378979682922363, 0.24218130111694336, 0.049216508865356445
9, 2, 0.07271958887577057, 0.9802137613296509, 9360460, 0.4388115406036377, 0.2080676555633545, 0.04389786720275879
9, 3, 0.09284327924251556, 0.9715756773948669, 9359917, 0.4647982120513916, 0.20444226264953613, 0.06522083282470703
9, 4, 0.021045945584774017, 0.9937391877174377, 9360009, 0.4839901924133301, 0.1986556053161621, 0.061753034591674805
9, 6, 0.02537716180086136, 0.9930322766304016, 9361257, 0.6150124073028564, 0.18698525428771973, 0.04526185989379883
