round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 5, 0.8211638927459717, 0.7585776448249817, 9361210, 0.9635448455810547, 0.2002263069152832, 9.5367431640625e-07
1, 3, 0.6360254287719727, 0.814593493938446, 9360192, 1.0113492012023926, 0.20464205741882324, 1.1920928955078125e-06
2, 8, 0.4387994408607483, 0.8819751739501953, 9359430, 1.041053295135498, 0.2817356586456299, 0.04835200309753418
2, 7, 0.6143461465835571, 0.8381948471069336, 9360337, 1.2736544609069824, 0.24126863479614258, 0.06131625175476074
2, 9, 0.5122394561767578, 0.8581598997116089, 9359603, 1.4061219692230225, 0.20194196701049805, 0.04509925842285156
2, 6, 0.5065450072288513, 0.8512121438980103, 9358855, 1.3695147037506104, 0.2578601837158203, 0.06314730644226074
2, 2, 0.45393478870391846, 0.8740653991699219, 9359552, 1.4384593963623047, 0.2461225986480713, 0.0434725284576416
3, 7, 0.2867598831653595, 0.9166207909584045, 9360547, 0.3479924201965332, 0.23682475090026855, 0.053908348083496094
3, 9, 0.27452442049980164, 0.9169405102729797, 9359618, 0.48778223991394043, 0.20261168479919434, 0.05032157897949219
3, 3, 0.2660113573074341, 0.9214195013046265, 9360361, 0.5114378929138184, 0.18936395645141602, 0.06756186485290527
3, 8, 0.1873396635055542, 0.9430912137031555, 9359691, 0.46044182777404785, 0.2610301971435547, 0.06599116325378418
3, 4, 0.2228396236896515, 0.9313619136810303, 9359246, 1.226954460144043, 0.18864703178405762, 0.04544425010681152
4, 7, 0.2441326230764389, 0.9229499101638794, 9359304, 0.4019029140472412, 0.2064042091369629, 0.06488776206970215
4, 8, 0.1609078347682953, 0.9530557990074158, 9358189, 0.4430575370788574, 0.21065950393676758, 0.0710906982421875
4, 3, 0.21519555151462555, 0.9366286396980286, 9359028, 0.4864952564239502, 0.21313834190368652, 0.05668449401855469
4, 4, 0.17277204990386963, 0.9480466842651367, 9360117, 0.7586879730224609, 0.1723320484161377, 0.06501483917236328
4, 1, 0.2521102726459503, 0.9265924096107483, 9357664, 1.4020376205444336, 0.20015335083007812, 0.04189324378967285
5, 7, 0.205220565199852, 0.9347826242446899, 9359714, 0.4349708557128906, 0.2888662815093994, 0.06988978385925293
5, 8, 0.1360616385936737, 0.9610274434089661, 9360092, 0.5161457061767578, 0.276364803314209, 0.05503058433532715
5, 6, 0.21295739710330963, 0.9375693202018738, 9360214, 0.6114590167999268, 0.23995518684387207, 0.05121421813964844
5, 1, 0.20748275518417358, 0.9400569796562195, 9358880, 0.7223458290100098, 0.20508909225463867, 0.06070733070373535
5, 2, 0.20878981053829193, 0.9375, 9360030, 0.7735400199890137, 0.18384695053100586, 0.06063055992126465
6, 5, 0.21888864040374756, 0.9342898726463318, 9358670, 0.5129745006561279, 0.2776215076446533, 0.044999122619628906
6, 9, 0.18266239762306213, 0.9463307857513428, 9361712, 0.563870906829834, 0.29581165313720703, 0.05193805694580078
6, 2, 0.17531709372997284, 0.9470794200897217, 9359381, 0.681887149810791, 0.19856023788452148, 0.04876089096069336
6, 4, 0.1306557059288025, 0.959305465221405, 9357741, 0.6306843757629395, 0.2609093189239502, 0.04136085510253906
6, 0, 0.21127912402153015, 0.9364399909973145, 9358406, 1.249208688735962, 0.1885380744934082, 0.05113101005554199
7, 8, 0.10098669677972794, 0.9714348912239075, 9360447, 0.4846820831298828, 0.24749350547790527, 0.06692934036254883
7, 3, 0.14964742958545685, 0.9545536637306213, 9359899, 0.6253788471221924, 0.20495033264160156, 0.07501959800720215
7, 0, 0.1774652749300003, 0.9435204863548279, 9360504, 0.6654479503631592, 0.23790955543518066, 0.056644439697265625
7, 1, 0.16241022944450378, 0.9488607048988342, 9360964, 0.7338356971740723, 0.19796204566955566, 0.06410026550292969
7, 6, 0.16142518818378448, 0.9477103352546692, 9359282, 0.7411916255950928, 0.20041799545288086, 0.057222843170166016
8, 7, 0.1302592158317566, 0.9589983224868774, 9359466, 0.4306318759918213, 0.23380613327026367, 0.044248104095458984
8, 8, 0.08802803605794907, 0.9754207134246826, 9360201, 0.5119888782501221, 0.22919583320617676, 0.06602025032043457
