round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 2, 0.3339690864086151, 0.9106208682060242, 904408, 0.9219741821289062, 0, 0
1, 8, 0.19308051466941833, 0.9501119256019592, 904408, 0.9947853088378906, 0, 0
2, 2, 0.17118078470230103, 0.9499658942222595, 904408, 0.3825864791870117, 0, 0
2, 8, 0.09900645166635513, 0.9720178842544556, 904408, 0.4735565185546875, 0, 0
2, 5, 1.0782501697540283, 0.72062087059021, 904408, 0.8725342750549316, 0, 0
2, 9, 0.3529825508594513, 0.8954833149909973, 904408, 1.3575024604797363, 0, 0
2, 1, 0.2957376539707184, 0.9176167845726013, 904408, 1.6456685066223145, 0, 0
3, 2, 0.11645639687776566, 0.9670229554176331, 904408, 0.39270877838134766, 0, 0
3, 9, 0.16466718912124634, 0.9482236504554749, 904408, 0.5506877899169922, 0, 0
3, 1, 0.12091875821352005, 0.9638659954071045, 904408, 1.0708873271942139, 0, 0
3, 4, 0.0415986105799675, 0.988773763179779, 904408, 1.1744301319122314, 0, 0
3, 0, 0.1393056958913803, 0.9587724804878235, 904408, 1.2516779899597168, 0, 0
4, 5, 0.049356427043676376, 0.9844789505004883, 904408, 0.17644810676574707, 0, 0
4, 4, 0.01950654573738575, 0.9939550757408142, 904408, 0.4200279712677002, 0, 0
4, 8, 0.11206691712141037, 0.9670611023902893, 904408, 0.5072636604309082, 0, 0
4, 1, 0.08709178119897842, 0.9730456471443176, 904408, 1.019068717956543, 0, 0
4, 3, 0.20820893347263336, 0.9346463680267334, 904408, 1.1099483966827393, 0, 0
5, 5, 0.03865114599466324, 0.9874353408813477, 904408, 0.20513153076171875, 0, 0
5, 2, 0.08233153074979782, 0.9765749573707581, 904408, 0.38326215744018555, 0, 0
5, 4, 0.025945022702217102, 0.9926597476005554, 904408, 0.4081611633300781, 0, 0
5, 7, 0.09052949398756027, 0.9675324559211731, 904408, 0.8972859382629395, 0, 0
5, 1, 0.0677468553185463, 0.9793603420257568, 904408, 0.9655294418334961, 0, 0
6, 5, 0.03532712906599045, 0.9911308288574219, 904408, 0.21518301963806152, 0, 0
6, 3, 0.22694982588291168, 0.9324082136154175, 904408, 0.4596095085144043, 0, 0
6, 4, 0.015899593010544777, 0.9943868517875671, 904408, 0.476776123046875, 0, 0
6, 0, 0.1274464726448059, 0.9638871550559998, 904408, 0.5525238513946533, 0, 0
6, 9, 0.16710346937179565, 0.95139080286026, 904408, 0.6045668125152588, 0, 0
7, 3, 0.13721172511577606, 0.9606087803840637, 904408, 0.5201609134674072, 0, 0
7, 4, 0.015467063523828983, 0.9956822395324707, 904408, 0.5400140285491943, 0, 0
7, 8, 0.06938053667545319, 0.9793732166290283, 904408, 0.6174311637878418, 0, 0
7, 0, 0.07301770150661469, 0.9787662625312805, 904408, 0.637629508972168, 0, 0
7, 9, 0.09565677493810654, 0.9703938364982605, 904408, 0.6706328392028809, 0, 0
8, 2, 0.06628987938165665, 0.9797589182853699, 904408, 0.47963905334472656, 0, 0
8, 4, 0.014453122392296791, 0.9965457916259766, 904408, 0.5081346035003662, 0, 0
8, 3, 0.11593475937843323, 0.9650850296020508, 904408, 0.5218567848205566, 0, 0
8, 0, 0.06148922070860863, 0.9804711937904358, 904408, 0.6157011985778809, 0, 0
8, 9, 0.07554933428764343, 0.9774166941642761, 904408, 0.6487717628479004, 0, 0
9, 5, 0.04233067110180855, 0.990391731262207, 904408, 0.1376183032989502, 0, 0
9, 8, 0.06892403215169907, 0.9766549468040466, 904408, 0.49998927116394043, 0, 0
9, 9, 0.06783188134431839, 0.9774166941642761, 904408, 0.556117057800293, 0, 0
9, 1, 0.05218625068664551, 0.9837455153465271, 904408, 1.0155391693115234, 0, 0
9, 6, 0.031229941174387932, 0.9918263554573059, 904408, 1.2359967231750488, 0, 0
10, 7, 0.07093027979135513, 0.975649356842041, 904408, 0.10734200477600098, 0, 0
10, 4, 0.013345561921596527, 0.9969775676727295, 904408, 0.43208789825439453, 0, 0
10, 3, 0.11167149245738983, 0.9670993685722351, 904408, 0.441957950592041, 0, 0
10, 6, 0.027344295755028725, 0.9923623204231262, 904408, 0.5714221000671387, 0, 0
10, 9, 0.07514917850494385, 0.9754888415336609, 904408, 0.5791747570037842, 0, 0
11, 7, 0.04554986581206322, 0.9837662577629089, 904408, 0.13967561721801758, 0, 0
11, 5, 0.0399186946451664, 0.9881744384765625, 904408, 0.19503378868103027, 0, 0
11, 3, 0.1011827141046524, 0.9682184457778931, 904408, 0.39029407501220703, 0, 0
11, 8, 0.04914474859833717, 0.9833706617355347, 904408, 0.4769885540008545, 0, 0
11, 1, 0.049210526049137115, 0.98321932554245, 904408, 0.9521591663360596, 0, 0
12, 7, 0.13852369785308838, 0.9464285969734192, 904408, 0.12869501113891602, 0, 0
12, 4, 0.016252754256129265, 0.995250403881073, 904408, 0.43657517433166504, 0, 0
12, 2, 0.06567740440368652, 0.9822606444358826, 904408, 0.44406628608703613, 0, 0
12, 9, 0.07269705832004547, 0.9760396480560303, 904408, 0.5651946067810059, 0, 0
12, 6, 0.02817603386938572, 0.9922283291816711, 904408, 0.5745949745178223, 0, 0
13, 5, 0.032469358295202255, 0.9874353408813477, 904408, 0.218353271484375, 0, 0
13, 4, 0.01380938570946455, 0.9956822395324707, 904408, 0.4612853527069092, 0, 0
13, 2, 0.05098289996385574, 0.9870366454124451, 904408, 0.4601781368255615, 0, 0
13, 8, 0.03995516523718834, 0.9875279664993286, 904408, 0.5357072353363037, 0, 0
13, 9, 0.048543643206357956, 0.9849903583526611, 904408, 0.5823101997375488, 0, 0
14, 7, 0.045656539499759674, 0.9870129823684692, 904408, 0.14659452438354492, 0, 0
14, 5, 0.024970661848783493, 0.9911308288574219, 904408, 0.17286944389343262, 0, 0
14, 2, 0.04420163109898567, 0.9888560175895691, 904408, 0.36620044708251953, 0, 0
14, 3, 0.08590579777956009, 0.9733661413192749, 904408, 0.3758275508880615, 0, 0
14, 4, 0.008005908690392971, 0.9982728958129883, 904408, 0.3976554870605469, 0, 0
15, 7, 0.06964123994112015, 0.975649356842041, 904408, 0.1504666805267334, 0, 0
15, 5, 0.025185097008943558, 0.9926090240478516, 904408, 0.1625957489013672, 0, 0
15, 4, 0.004041755571961403, 0.9995682239532471, 904408, 0.38651561737060547, 0, 0
15, 6, 0.016841839998960495, 0.9955781698226929, 904408, 0.520606517791748, 0, 0
15, 9, 0.04808724671602249, 0.9851280450820923, 904408, 0.5242536067962646, 0, 0
16, 4, 0.00834706798195839, 0.996761679649353, 904408, 0.5273611545562744, 0, 0
16, 8, 0.035525307059288025, 0.9883274435997009, 904408, 0.6279177665710449, 0, 0
16, 0, 0.0628342404961586, 0.9807811379432678, 904408, 0.6646955013275146, 0, 0
16, 9, 0.033722344785928726, 0.9895345568656921, 904408, 0.6989104747772217, 0, 0
16, 1, 0.04078616946935654, 0.9869028925895691, 904408, 1.1341979503631592, 0, 0
17, 5, 0.016949363052845, 0.9948263168334961, 904408, 0.2011871337890625, 0, 0
17, 4, 0.007282181177288294, 0.9978411197662354, 904408, 0.4752624034881592, 0, 0
17, 6, 0.016781670972704887, 0.9949082136154175, 904408, 0.6172759532928467, 0, 0
17, 9, 0.041185468435287476, 0.9862297177314758, 904408, 0.6199088096618652, 0, 0
17, 1, 0.027630291879177094, 0.9909372329711914, 904408, 1.0520529747009277, 0, 0
18, 4, 0.00731841754168272, 0.9976252317428589, 904408, 0.5471646785736084, 0, 0
18, 8, 0.06119287759065628, 0.9832107424736023, 904408, 0.6323387622833252, 0, 0
18, 6, 0.01395206619054079, 0.9955781698226929, 904408, 0.7172138690948486, 0, 0
18, 9, 0.037285976111888885, 0.9882952570915222, 904408, 0.7197353839874268, 0, 0
18, 1, 0.02344459854066372, 0.9926913380622864, 904408, 1.1487202644348145, 0, 0
19, 7, 0.04529735818505287, 0.9837662577629089, 904408, 0.16647696495056152, 0, 0
19, 2, 0.048159029334783554, 0.9856720566749573, 904408, 0.4479527473449707, 0, 0
19, 4, 0.01162828877568245, 0.9965457916259766, 904408, 0.47855710983276367, 0, 0
19, 6, 0.014641749672591686, 0.9959801435470581, 904408, 0.605811357498169, 0, 0
19, 1, 0.020445136353373528, 0.9936268329620361, 904408, 1.0402960777282715, 0, 0
20, 5, 0.020295968279242516, 0.9911308288574219, 904408, 0.20115876197814941, 0, 0
20, 8, 0.06484030187129974, 0.9811320900917053, 904408, 0.576704740524292, 0, 0
20, 6, 0.009985996410250664, 0.9969181418418884, 904408, 0.6456642150878906, 0, 0
20, 9, 0.05182923004031181, 0.984714925289154, 904408, 0.6446919441223145, 0, 0
20, 1, 0.020037367939949036, 0.9929836988449097, 904408, 1.0745775699615479, 0, 0
21, 7, 0.054100681096315384, 0.9805194735527039, 904408, 0.14652323722839355, 0, 0
21, 5, 0.014675288461148739, 0.9955654144287109, 904408, 0.16071343421936035, 0, 0
21, 4, 0.008145507425069809, 0.9980570077896118, 904408, 0.41310667991638184, 0, 0
21, 8, 0.04243623465299606, 0.9867284893989563, 904408, 0.4739832878112793, 0, 0
21, 1, 0.015968365594744682, 0.9945623278617859, 904408, 0.9635839462280273, 0, 0
22, 5, 0.019634122028946877, 0.9940872192382812, 904408, 0.19146108627319336, 0, 0
22, 2, 0.05035698786377907, 0.9861268997192383, 904408, 0.45125341415405273, 0, 0
22, 8, 0.046951454132795334, 0.9843300580978394, 904408, 0.5571787357330322, 0, 0
22, 0, 0.06483285129070282, 0.9798511862754822, 904408, 0.5747690200805664, 0, 0
22, 6, 0.020124198868870735, 0.9937022924423218, 904408, 0.5998070240020752, 0, 0
23, 3, 0.1094263568520546, 0.9682184457778931, 904408, 0.504155158996582, 0, 0
23, 4, 0.05809124931693077, 0.984455943107605, 904408, 0.5067341327667236, 0, 0
23, 8, 0.022515852004289627, 0.9923248887062073, 904408, 0.5911095142364502, 0, 0
23, 0, 0.03905469551682472, 0.9877557158470154, 904408, 0.613624095916748, 0, 0
23, 9, 0.048706647008657455, 0.9843018651008606, 904408, 0.6567916870117188, 0, 0
24, 2, 0.03929261490702629, 0.9884011745452881, 904408, 0.4712028503417969, 0, 0
24, 4, 0.004148983396589756, 0.9991364479064941, 904408, 0.5348062515258789, 0, 0
24, 8, 0.027022769674658775, 0.991205632686615, 904408, 0.5838100910186768, 0, 0
24, 9, 0.02702346257865429, 0.9916000962257385, 904408, 0.6597294807434082, 0, 0
24, 6, 0.010359786450862885, 0.9969181418418884, 904408, 0.6585068702697754, 0, 0
25, 5, 0.02871844172477722, 0.9918699264526367, 904408, 0.18950271606445312, 0, 0
25, 2, 0.027638720348477364, 0.9915851950645447, 904408, 0.43584632873535156, 0, 0
25, 8, 0.021805087104439735, 0.992644727230072, 904408, 0.5531766414642334, 0, 0
25, 0, 0.034658826887607574, 0.988530695438385, 904408, 0.5602834224700928, 0, 0
25, 9, 0.022438814863562584, 0.9940787553787231, 904408, 0.6141424179077148, 0, 0
26, 7, 0.07656706869602203, 0.9740259647369385, 904408, 0.12083315849304199, 0, 0
26, 3, 0.07631690055131912, 0.9782900810241699, 904408, 0.4295532703399658, 0, 0
26, 4, 0.016672084107995033, 0.9922279715538025, 904408, 0.45159459114074707, 0, 0
26, 6, 0.007541269529610872, 0.997990071773529, 904408, 0.5738868713378906, 0, 0
26, 9, 0.023186564445495605, 0.992426335811615, 904408, 0.5884747505187988, 0, 0
27, 5, 0.038668397814035416, 0.9881744384765625, 904408, 0.20597553253173828, 0, 0
27, 4, 0.004827326629310846, 0.9984887838363647, 904408, 0.45635104179382324, 0, 0
27, 8, 0.0336909294128418, 0.9888071417808533, 904408, 0.5346264839172363, 0, 0
27, 9, 0.014506392180919647, 0.9961442947387695, 904408, 0.6016585826873779, 0, 0
27, 1, 0.02028610371053219, 0.9930421710014343, 904408, 1.0311057567596436, 0, 0
28, 5, 0.017748644575476646, 0.9926090240478516, 904408, 0.2213125228881836, 0, 0
28, 3, 0.07702311873435974, 0.9762757420539856, 904408, 0.46492981910705566, 0, 0
28, 8, 0.025473730638623238, 0.9918451905250549, 904408, 0.5724666118621826, 0, 0
28, 9, 0.02432456985116005, 0.9929771423339844, 904408, 0.6403334140777588, 0, 0
28, 6, 0.00855494849383831, 0.9971861243247986, 904408, 0.6396744251251221, 0, 0
29, 7, 0.05113283544778824, 0.9821428656578064, 904408, 0.12949514389038086, 0, 0
29, 3, 0.0617554746568203, 0.9800805449485779, 904408, 0.4243743419647217, 0, 0
29, 2, 0.03516101837158203, 0.9893109202384949, 904408, 0.4397251605987549, 0, 0
29, 9, 0.014292707666754723, 0.9960066080093384, 904408, 0.5647749900817871, 0, 0
29, 1, 0.019266434013843536, 0.9939191937446594, 904408, 1.0061256885528564, 0, 0
30, 5, 0.01061233226209879, 0.9955654144287109, 904408, 0.189469575881958, 0, 0
30, 3, 0.07496228069067001, 0.9756042957305908, 904408, 0.45671820640563965, 0, 0
30, 2, 0.039454083889722824, 0.9868091940879822, 904408, 0.46932148933410645, 0, 0
30, 8, 0.04858074337244034, 0.9849696159362793, 904408, 0.5260827541351318, 0, 0
30, 0, 0.0547359474003315, 0.9849659204483032, 904408, 0.5491604804992676, 0, 0
31, 7, 0.10800544917583466, 0.9610389471054077, 904408, 0.09443807601928711, 0, 0
31, 2, 0.023092666640877724, 0.9931771755218506, 904408, 0.4241921901702881, 0, 0
31, 4, 0.050680629909038544, 0.9866148829460144, 904408, 0.42948007583618164, 0, 0
31, 3, 0.06307423859834671, 0.9809758067131042, 904408, 0.44748997688293457, 0, 0
31, 6, 0.012184846214950085, 0.9959801435470581, 904408, 0.5660481452941895, 0, 0
32, 7, 0.04268496856093407, 0.9870129823684692, 904408, 0.111663818359375, 0, 0
32, 5, 0.03735021501779556, 0.9889135360717773, 904408, 0.18186521530151367, 0, 0
32, 8, 0.029054205864667892, 0.9896066784858704, 904408, 0.47002100944519043, 0, 0
32, 0, 0.05606629699468613, 0.9840359687805176, 904408, 0.5047848224639893, 0, 0
32, 6, 0.004353647120296955, 0.9986600279808044, 904408, 0.5428216457366943, 0, 0
33, 2, 0.024699904024600983, 0.9918125867843628, 904408, 0.4853861331939697, 0, 0
33, 3, 0.06318854540586472, 0.9794091582298279, 904408, 0.496478796005249, 0, 0
33, 0, 0.01846271939575672, 0.9942653179168701, 904408, 0.6171503067016602, 0, 0
33, 6, 0.004534676671028137, 0.9987940788269043, 904408, 0.6728293895721436, 0, 0
33, 1, 0.01732952520251274, 0.9947377443313599, 904408, 1.0840904712677002, 0, 0
34, 5, 0.01081450842320919, 0.9955654144287109, 904408, 0.19867968559265137, 0, 0
34, 4, 0.007911961525678635, 0.9982728958129883, 904408, 0.46376633644104004, 0, 0
34, 8, 0.03734547644853592, 0.9889670610427856, 904408, 0.5585165023803711, 0, 0
34, 0, 0.02860894240438938, 0.9908555746078491, 904408, 0.561539888381958, 0, 0
34, 6, 0.005991089623421431, 0.997990071773529, 904408, 0.615217924118042, 0, 0
35, 5, 0.02848418429493904, 0.9926090240478516, 904408, 0.1744232177734375, 0, 0
35, 2, 0.022554919123649597, 0.9918125867843628, 904408, 0.4248065948486328, 0, 0
35, 3, 0.06593436002731323, 0.9805281758308411, 904408, 0.45159459114074707, 0, 0
35, 4, 0.011317683383822441, 0.9961140155792236, 904408, 0.461184024810791, 0, 0
35, 6, 0.0029890830628573895, 0.9990620613098145, 904408, 0.5672175884246826, 0, 0
36, 3, 0.04933591187000275, 0.9850044846534729, 904408, 0.4821798801422119, 0, 0
36, 4, 0.006752973422408104, 0.9982728958129883, 904408, 0.5491325855255127, 0, 0
36, 8, 0.01986423321068287, 0.992964506149292, 904408, 0.6341748237609863, 0, 0
36, 9, 0.027326062321662903, 0.9907739162445068, 904408, 0.6956577301025391, 0, 0
36, 1, 0.011148810386657715, 0.9964333772659302, 904408, 1.1325504779815674, 0, 0
37, 7, 0.05800097808241844, 0.9805194735527039, 904408, 0.12456274032592773, 0, 0
37, 4, 0.0033537657000124454, 0.9989205598831177, 904408, 0.4451146125793457, 0, 0
37, 8, 0.018939336761832237, 0.9940837621688843, 904408, 0.5362560749053955, 0, 0
37, 6, 0.006206948310136795, 0.997990071773529, 904408, 0.6186587810516357, 0, 0
37, 1, 0.008132337592542171, 0.9980120658874512, 904408, 1.0210986137390137, 0, 0
38, 7, 0.026637647300958633, 0.9918830990791321, 904408, 0.12763381004333496, 0, 0
38, 5, 0.015232862904667854, 0.9940872192382812, 904408, 0.15981149673461914, 0, 0
38, 3, 0.05964119732379913, 0.9800805449485779, 904408, 0.3887300491333008, 0, 0
38, 4, 0.006999584846198559, 0.9980570077896118, 904408, 0.391066312789917, 0, 0
38, 1, 0.011769169010221958, 0.9968426823616028, 904408, 0.9279170036315918, 0, 0
39, 5, 0.010097243823111057, 0.9955654144287109, 904408, 0.18336701393127441, 0, 0
39, 0, 0.04617774859070778, 0.9869807958602905, 904408, 0.5717020034790039, 0, 0
39, 8, 0.07496676594018936, 0.9819315671920776, 904408, 0.5812575817108154, 0, 0
39, 9, 0.0637989267706871, 0.9804461598396301, 904408, 0.6509499549865723, 0, 0
39, 1, 0.004571206867694855, 0.9988306164741516, 904408, 1.0594673156738281, 0, 0
40, 7, 0.07156861573457718, 0.9691558480262756, 904408, 0.1382122039794922, 0, 0
40, 2, 0.0352771133184433, 0.989083468914032, 904408, 0.420548677444458, 0, 0
40, 3, 0.04855236038565636, 0.9852283000946045, 904408, 0.44113659858703613, 0, 0
40, 8, 0.015387015417218208, 0.994403600692749, 904408, 0.5219905376434326, 0, 0
40, 1, 0.01722760871052742, 0.9942700266838074, 904408, 0.9932308197021484, 0, 0
41, 7, 0.06167808920145035, 0.9772727489471436, 904408, 0.10473942756652832, 0, 0
41, 4, 0.008772785775363445, 0.9963299036026001, 904408, 0.431412935256958, 0, 0
41, 0, 0.035750918090343475, 0.9879107475280762, 904408, 0.5565903186798096, 0, 0
41, 9, 0.036019738763570786, 0.986367404460907, 904408, 0.5955901145935059, 0, 0
41, 1, 0.0024081121664494276, 0.9994152784347534, 904408, 1.0382580757141113, 0, 0
42, 5, 0.011417587287724018, 0.9963045120239258, 904408, 0.15634393692016602, 0, 0
42, 2, 0.03276985511183739, 0.9904480576515198, 904408, 0.44748950004577637, 0, 0
42, 4, 0.009371218271553516, 0.997193455696106, 904408, 0.4688382148742676, 0, 0
42, 8, 0.029790839180350304, 0.9904061555862427, 904408, 0.5207955837249756, 0, 0
42, 6, 0.007782908622175455, 0.9973201155662537, 904408, 0.5903847217559814, 0, 0
43, 7, 0.04920940473675728, 0.9870129823684692, 904408, 0.13074064254760742, 0, 0
43, 5, 0.024412088096141815, 0.9933481216430664, 904408, 0.18084931373596191, 0, 0
43, 3, 0.04840930923819542, 0.9832139611244202, 904408, 0.3876791000366211, 0, 0
43, 8, 0.010536350309848785, 0.9971218705177307, 904408, 0.46161627769470215, 0, 0
43, 1, 0.01766536384820938, 0.9939776659011841, 904408, 0.9469599723815918, 0, 0
44, 7, 0.12186987698078156, 0.9691558480262756, 904408, 0.12232089042663574, 0, 0
44, 5, 0.01459188386797905, 0.9955654144287109, 904408, 0.19203925132751465, 0, 0
44, 3, 0.0682993158698082, 0.976051926612854, 904408, 0.3757205009460449, 0, 0
44, 0, 0.03034376911818981, 0.9902355670928955, 904408, 0.462688684463501, 0, 0
44, 9, 0.03982580453157425, 0.9874690175056458, 904408, 0.5192406177520752, 0, 0
45, 7, 0.09297005832195282, 0.9707792401313782, 904408, 0.08476996421813965, 0, 0
45, 5, 0.02671254798769951, 0.9918699264526367, 904408, 0.19638586044311523, 0, 0
45, 3, 0.033451348543167114, 0.9901521801948547, 904408, 0.39135217666625977, 0, 0
45, 0, 0.01760263368487358, 0.9939553737640381, 904408, 0.47795724868774414, 0, 0
45, 6, 0.005607912316918373, 0.9981240630149841, 904408, 0.5200698375701904, 0, 0
46, 7, 0.06821424514055252, 0.9788960814476013, 904408, 0.1121668815612793, 0, 0
46, 5, 0.02016650326550007, 0.9926090240478516, 904408, 0.18208837509155273, 0, 0
46, 2, 0.0224454402923584, 0.9927223324775696, 904408, 0.3730130195617676, 0, 0
46, 4, 0.013187090866267681, 0.9954662919044495, 904408, 0.3841698169708252, 0, 0
46, 9, 0.023810213431715965, 0.9928394556045532, 904408, 0.5013744831085205, 0, 0
47, 5, 0.01699351705610752, 0.9948263168334961, 904408, 0.17446684837341309, 0, 0
47, 2, 0.01953257992863655, 0.9934045672416687, 904408, 0.4383068084716797, 0, 0
47, 3, 0.031521495431661606, 0.9908236265182495, 904408, 0.45578503608703613, 0, 0
47, 8, 0.019015900790691376, 0.994403600692749, 904408, 0.5274767875671387, 0, 0
47, 1, 0.008329318836331367, 0.9973104000091553, 904408, 1.0147900581359863, 0, 0
