round, cid, loss, accuracy, decyfer_time
1, 1, 0.36727383732795715, 0.9079999923706055, 0.007017374038696289
2, 1, 0.3163762092590332, 0.9147999882698059, 0.005280733108520508
3, 1, 0.2976141571998596, 0.9190000295639038, 0.005210399627685547
4, 1, 0.29100340604782104, 0.9197999835014343, 0.004956245422363281
5, 1, 0.28652217984199524, 0.9204000234603882, 0.005818367004394531
6, 1, 0.28585800528526306, 0.920199990272522, 0.004428863525390625
7, 1, 0.27990061044692993, 0.9229999780654907, 0.0049266815185546875
8, 1, 0.282511830329895, 0.9190000295639038, 0.0048825740814208984
9, 1, 0.27779677510261536, 0.9233999848365784, 0.005390644073486328
10, 1, 0.2791667580604553, 0.9223999977111816, 0.004190921783447266
11, 1, 0.27534249424934387, 0.923799991607666, 0.0048236846923828125
12, 1, 0.2778615653514862, 0.9223999977111816, 0.006979942321777344
13, 1, 0.2746882140636444, 0.9247999787330627, 0.005168437957763672
14, 1, 0.27584007382392883, 0.9232000112533569, 0.004475831985473633
15, 1, 0.2764241099357605, 0.9236000180244446, 0.004866123199462891
16, 1, 0.2786701023578644, 0.921999990940094, 0.004892587661743164
17, 1, 0.2756655514240265, 0.9261999726295471, 0.0051996707916259766
18, 1, 0.27720126509666443, 0.921999990940094, 0.004988431930541992
19, 1, 0.27641695737838745, 0.9243999719619751, 0.005395174026489258
