round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 0, 0.6121629476547241, 0.8402486443519592, 334207, 1.376014232635498, 0.009941339492797852, 1.1920928955078125e-06
2, 0, 0.37411120533943176, 0.9033499360084534, 334555, 0.8445665836334229, 0.009665250778198242, 0.009212732315063477
3, 0, 0.28628891706466675, 0.9208644032478333, 334504, 0.8097398281097412, 0.009540319442749023, 0.004869222640991211
4, 0, 0.2637781798839569, 0.9275248050689697, 334483, 0.8095183372497559, 0.0073015689849853516, 0.005524396896362305
5, 0, 0.25105661153793335, 0.9313730597496033, 334387, 0.8128857612609863, 0.007188558578491211, 0.005791425704956055
6, 0, 0.24306558072566986, 0.932853102684021, 334385, 0.9245765209197998, 0.009092569351196289, 0.006381511688232422
7, 0, 0.2371644824743271, 0.9353199601173401, 334333, 0.8917989730834961, 0.0075397491455078125, 0.005422115325927734
8, 0, 0.23193655908107758, 0.9368000626564026, 334226, 0.8003485202789307, 0.008123159408569336, 0.004810810089111328
9, 0, 0.2280416041612625, 0.9379347562789917, 334438, 0.7965660095214844, 0.00932765007019043, 0.005611896514892578
10, 0, 0.22493010759353638, 0.9379841089248657, 334401, 0.8254833221435547, 0.00856471061706543, 0.006758213043212891
11, 0, 0.22214698791503906, 0.9392175078392029, 334219, 0.8329589366912842, 0.008791446685791016, 0.0062408447265625
12, 0, 0.29883867502212524, 0.9204697012901306, 334179, 0.8018512725830078, 0.007248878479003906, 0.007878303527832031
13, 0, 0.25471436977386475, 0.9301889538764954, 334316, 0.8073329925537109, 0.008179187774658203, 0.005538225173950195
14, 0, 0.2434256374835968, 0.9333465099334717, 334464, 0.8322422504425049, 0.008885860443115234, 0.006078243255615234
15, 0, 0.23582980036735535, 0.93586266040802, 334069, 0.8106112480163574, 0.0076541900634765625, 0.00582575798034668
16, 0, 0.2307744324207306, 0.9371947050094604, 334491, 0.8127822875976562, 0.008204460144042969, 0.00580596923828125
17, 0, 0.2271861433982849, 0.938132107257843, 334368, 0.8720667362213135, 0.008007526397705078, 0.005545377731323242
18, 0, 0.22440701723098755, 0.9396122097969055, 334084, 0.8244566917419434, 0.007132053375244141, 0.007157802581787109
19, 0, 0.22112245857715607, 0.9400562644004822, 334506, 0.7949309349060059, 0.007402181625366211, 0.006237983703613281
