round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 0, 0.6008572578430176, 0.8394099473953247, 117907, 1.3332035541534424, 0.019115209579467773, 0.0025115013122558594
2, 0, 0.3043830990791321, 0.9156346917152405, 117907, 0.8206124305725098, 0.015807628631591797, 0.0011098384857177734
3, 0, 0.2735997438430786, 0.9246139526367188, 117907, 0.8314685821533203, 0.015776872634887695, 0.0011055469512939453
4, 0, 0.25960907340049744, 0.9284622073173523, 117907, 0.8280162811279297, 0.015116691589355469, 0.001169443130493164
5, 0, 0.25252625346183777, 0.930583655834198, 117907, 0.8008089065551758, 0.014840841293334961, 0.001192331314086914
6, 0, 0.24638701975345612, 0.9327051043510437, 117907, 0.7786862850189209, 0.012597322463989258, 0.0010137557983398438
7, 0, 0.24391895532608032, 0.9327544569969177, 117907, 0.8390843868255615, 0.015125274658203125, 0.0014328956604003906
8, 0, 0.24170973896980286, 0.9345799088478088, 117907, 0.861530065536499, 0.015631675720214844, 0.0010595321655273438
9, 0, 0.2388107180595398, 0.9353199601173401, 117907, 0.790766716003418, 0.014649152755737305, 0.0012750625610351562
10, 0, 0.23707327246665955, 0.9345305562019348, 117907, 0.7912869453430176, 0.014447927474975586, 0.0008215904235839844
11, 0, 0.23431865870952606, 0.9354679584503174, 117907, 0.8011627197265625, 0.014312028884887695, 0.0013191699981689453
12, 0, 0.23354355990886688, 0.9362573623657227, 117907, 0.786536455154419, 0.015463113784790039, 0.0013294219970703125
13, 0, 0.2326376736164093, 0.9369480609893799, 117907, 0.7839045524597168, 0.014785528182983398, 0.001119852066040039
14, 0, 0.23195187747478485, 0.9368493556976318, 117907, 0.7911193370819092, 0.016719341278076172, 0.0011849403381347656
15, 0, 0.23125861585140228, 0.938674807548523, 117907, 0.8342447280883789, 0.017560720443725586, 0.0010986328125
16, 0, 0.22958208620548248, 0.9378854632377625, 117907, 0.7888603210449219, 0.016721010208129883, 0.0013310909271240234
17, 0, 0.22924292087554932, 0.9384281635284424, 117907, 0.8025317192077637, 0.01849079132080078, 0.0009932518005371094
18, 0, 0.22968704998493195, 0.938674807548523, 117907, 0.7937788963317871, 0.014071226119995117, 0.001203775405883789
19, 0, 0.22861894965171814, 0.9394642114639282, 117907, 0.927915096282959, 0.01654052734375, 0.001043081283569336
