round, t_select, t_aggregate
1, 7.9510462284088135, 0.002986431121826172
2, 7.939338684082031e-05, 0.0012824535369873047
3, 2.9087066650390625e-05, 0.00168609619140625
4, 7.05718994140625e-05, 0.0012688636779785156
5, 2.1219253540039062e-05, 0.00426936149597168
6, 2.765655517578125e-05, 0.004017353057861328
7, 6.246566772460938e-05, 0.0015816688537597656
8, 2.193450927734375e-05, 0.00394129753112793
9, 3.0279159545898438e-05, 0.0014715194702148438
10, 2.2411346435546875e-05, 0.0059223175048828125
11, 1.9550323486328125e-05, 0.004105567932128906
12, 2.1219253540039062e-05, 0.0012102127075195312
13, 1.9311904907226562e-05, 0.0013883113861083984
14, 2.9802322387695312e-05, 0.0018296241760253906
15, 2.765655517578125e-05, 0.00433039665222168
16, 1.9550323486328125e-05, 0.0033600330352783203
17, 2.4557113647460938e-05, 0.0029032230377197266
18, 1.9788742065429688e-05, 0.004116058349609375
19, 2.6226043701171875e-05, 0.0013875961303710938
20, 3.170967102050781e-05, 0.001201629638671875
21, 3.552436828613281e-05, 0.001199483871459961
22, 3.075599670410156e-05, 0.004006624221801758
23, 2.3603439331054688e-05, 0.003361225128173828
24, 5.054473876953125e-05, 0.0013515949249267578
25, 2.1219253540039062e-05, 0.004758119583129883
26, 1.9073486328125e-05, 0.0012700557708740234
27, 5.817413330078125e-05, 0.004219532012939453
28, 2.4080276489257812e-05, 0.0015404224395751953
29, 7.152557373046875e-05, 0.007752895355224609
30, 6.4849853515625e-05, 0.004234790802001953
31, 6.508827209472656e-05, 0.0012664794921875
32, 5.793571472167969e-05, 0.004285573959350586
33, 6.198883056640625e-05, 0.0020782947540283203
34, 5.9604644775390625e-05, 0.0013227462768554688
35, 1.9073486328125e-05, 0.00408172607421875
36, 6.318092346191406e-05, 0.002331256866455078
37, 6.437301635742188e-05, 0.003843069076538086
38, 4.9591064453125e-05, 0.003210306167602539
39, 6.0558319091796875e-05, 0.002790689468383789
40, 1.9788742065429688e-05, 0.004136800765991211
41, 2.1219253540039062e-05, 0.0022428035736083984
42, 2.5987625122070312e-05, 0.001150369644165039
43, 6.198883056640625e-05, 0.001180887222290039
44, 2.9087066650390625e-05, 0.0024144649505615234
45, 1.9073486328125e-05, 0.004216432571411133
46, 2.193450927734375e-05, 0.004402875900268555
47, 2.5510787963867188e-05, 0.0011637210845947266
48, 6.699562072753906e-05, 0.0012559890747070312
49, 1.9311904907226562e-05, 0.004415035247802734
50, 7.319450378417969e-05, 0.004250049591064453
51, 1.9073486328125e-05, 0.004014253616333008
52, 1.9550323486328125e-05, 0.004194736480712891
53, 5.173683166503906e-05, 0.0024204254150390625
54, 2.47955322265625e-05, 0.0022847652435302734
55, 5.364418029785156e-05, 0.0012671947479248047
56, 8.153915405273438e-05, 0.0033931732177734375
57, 6.246566772460938e-05, 0.001363992691040039
58, 2.2411346435546875e-05, 0.0033898353576660156
59, 2.5987625122070312e-05, 0.0012145042419433594
60, 2.09808349609375e-05, 0.004202842712402344
61, 2.47955322265625e-05, 0.0012733936309814453
62, 2.002716064453125e-05, 0.001973867416381836
63, 2.7894973754882812e-05, 0.0012216567993164062
64, 2.8848648071289062e-05, 0.004466056823730469
65, 4.935264587402344e-05, 0.0016455650329589844
66, 2.002716064453125e-05, 0.003982067108154297
