round, cid, loss, accuracy, model_size, train_time, cyfer_time, decyfer_time
1, 1, 1.8658608198165894, 0.16597510874271393, 1745000, 0.3864727020263672, 8.94390082359314, 0.0027647018432617188
1, 1, 2.0165293216705322, 0.23651452362537384, 1744996, 0.35994815826416016, 8.880723714828491, 0.0022170543670654297
1, 1, 1.880015254020691, 0.30705395340919495, 1744970, 0.3536567687988281, 8.57664179801941, 0.002836465835571289
1, 1, 1.8547492027282715, 0.31120333075523376, 1744993, 0.36238646507263184, 8.922236442565918, 0.0025186538696289062
1, 1, 1.7889747619628906, 0.22406639158725739, 1744976, 0.4295034408569336, 8.65912127494812, 0.002498626708984375
1, 1, 1.688583254814148, 0.28630706667900085, 1745013, 0.358731746673584, 8.890809774398804, 0.003021240234375
2, 1, 1.9802367687225342, 0.10373444110155106, 1744956, 0.2916994094848633, 8.20505404472351, 2.9004299640655518
3, 1, 1.626417636871338, 0.3153527081012726, 1744973, 0.35901641845703125, 8.297613859176636, 5.142829895019531
1, 1, 1.6546339988708496, 0.3360995948314667, 1744993, 0.3665013313293457, 8.741787672042847, 0.002165555953979492
2, 1, 4.833329677581787, 0.10788381844758987, 1744996, 0.14098405838012695, 8.602792263031006, 5.301313638687134
1, 1, 1.9285377264022827, 0.24481327831745148, 1744946, 0.3981657028198242, 9.063907861709595, 0.0020551681518554688
1, 1, 1.7695902585983276, 0.31120333075523376, 1744978, 0.38323020935058594, 8.587999105453491, 0.002490997314453125
2, 1, 1.9763994216918945, 0.1369294673204422, 1745027, 0.27130627632141113, 8.11161756515503, 5.399064779281616
1, 1, 1.482239007949829, 0.4315352737903595, 1745008, 0.35285258293151855, 8.398674011230469, 0.002057313919067383
1, 1, 1.9865072965621948, 0.2780083119869232, 1744992, 0.3635084629058838, 8.744232416152954, 0.002710580825805664
2, 1, 1.8896522521972656, 0.23651452362537384, 1744967, 0.2662198543548584, 8.424647808074951, 5.207582473754883
3, 1, 1.715578556060791, 0.28215768933296204, 1745016, 0.07472777366638184, 8.73976731300354, 5.140474557876587
1, 1, 2.0348503589630127, 0.23236514627933502, 1745003, 0.3898453712463379, 9.014944076538086, 0.002399921417236328
1, 1, 1.8032245635986328, 0.23651452362537384, 1744954, 0.3757805824279785, 8.73978567123413, 0.0025894641876220703
2, 1, 1.9979287385940552, 0.1576763540506363, 1745033, 0.06740188598632812, 8.716328620910645, 5.164942979812622
3, 1, 1.6808844804763794, 0.30705395340919495, 1744950, 0.11944723129272461, 7.498412132263184, 5.062457323074341
4, 1, 1.684744119644165, 0.2531120479106903, 1744951, 0.06839466094970703, 8.968162298202515, 5.055386543273926
5, 1, 1.642660140991211, 0.37344399094581604, 1745017, 0.07711911201477051, 7.636482000350952, 5.260588884353638
6, 1, 1.6335325241088867, 0.30290457606315613, 1744965, 0.2853982448577881, 8.619680166244507, 5.735455513000488
7, 1, 1.6239662170410156, 0.4356846511363983, 1744940, 0.1380295753479004, 8.720589876174927, 5.176720142364502
8, 1, 1.6181237697601318, 0.5767635107040405, 1745005, 0.07260346412658691, 7.9343180656433105, 5.01534628868103
9, 1, 1.6252373456954956, 0.4273858964443207, 1744989, 0.10379648208618164, 9.052770137786865, 5.388125658035278
1, 1, 1.7830531597137451, 0.19087137281894684, 1744898, 0.37502336502075195, 8.811962366104126, 0.0021271705627441406
2, 1, 1.99154794216156, 0.07468879967927933, 1745024, 0.07640647888183594, 8.552457332611084, 5.2249596118927
1, 1, 1.8268511295318604, 0.2572614252567291, 35364, 0.4449949264526367, 0.43778181076049805, 0.002532482147216797
2, 1, 6.856390953063965, 0.17842324078083038, 35358, 0.07404589653015137, 0.2737553119659424, 0.24251246452331543
3, 1, 31.35803985595703, 0.18672199547290802, 35361, 0.07387351989746094, 0.32185816764831543, 0.27403807640075684
4, 1, 31.68280029296875, 0.004149377811700106, 35364, 0.06806755065917969, 0.2751436233520508, 0.2456679344177246
1, 1, 1.690802812576294, 0.21576763689517975, 35368, 0.37964582443237305, 0.3131592273712158, 0.002324819564819336
2, 1, 1.986228108406067, 0.2074688822031021, 35362, 0.07200145721435547, 0.2972416877746582, 0.2184302806854248
3, 1, 1.6221535205841064, 0.28630706667900085, 35358, 0.06718254089355469, 0.32737040519714355, 0.23845934867858887
4, 1, 1.618054986000061, 0.4730290472507477, 35362, 0.06897115707397461, 0.20100927352905273, 0.23849177360534668
1, 1, 1.9474471807479858, 0.2074688822031021, 35364, 0.3617398738861084, 0.30850958824157715, 0.002410888671875
2, 1, 1.6255078315734863, 0.3153527081012726, 35361, 0.07676005363464355, 0.30022454261779785, 0.3080897331237793
3, 1, 1.5970534086227417, 0.3195020854473114, 35361, 0.06717205047607422, 0.3250255584716797, 0.24663615226745605
4, 1, 1.4427082538604736, 0.5062240958213806, 35369, 0.0697939395904541, 0.28294992446899414, 0.24471831321716309
1, 1, 1.8023735284805298, 0.21991701424121857, 698, 0.39271068572998047, 0.17456531524658203, 0.0038580894470214844
2, 1, 1.630088448524475, 0.30290457606315613, 698, 0.0705723762512207, 0.19795680046081543, 0.13415789604187012
1, 1, 1.7319409847259521, 0.2738589346408844, 35359, 0.3601233959197998, 0.3416590690612793, 0.002498626708984375
2, 1, 1.7332167625427246, 0.1576763540506363, 35366, 0.06695699691772461, 0.3017125129699707, 0.24665427207946777
3, 1, 1.5735756158828735, 0.5601660013198853, 35362, 0.07320427894592285, 0.3063969612121582, 0.25742340087890625
1, 1, 1.6253942251205444, 0.3360995948314667, 35361, 0.35353755950927734, 0.2535982131958008, 0.002251148223876953
2, 1, 1.7435020208358765, 0.2282157689332962, 35361, 0.07549476623535156, 0.2847721576690674, 0.3387877941131592
3, 1, 1.574076533317566, 0.5062240958213806, 35353, 0.08441042900085449, 0.22926068305969238, 0.20720696449279785
4, 1, 1.4377132654190063, 0.46473029255867004, 35355, 0.07089543342590332, 0.26276302337646484, 0.2294149398803711
